,City,date,lat,lon,max_temp,clouds,wind,humidity,Country
0,zabol,1595986588,32.25,67.25,73.33,0,4.09,20,AF
1,east london,1595986588,-33.02,27.91,61.11,0,11.23,70,ZA
2,liberty,1595986373,31.83,-81.5,84.2,75,13.87,62,US
3,mangai,1595986588,-4.05,19.53,72.1,0,1.03,53,CD
4,gardenstown,1595986588,57.67,-2.34,54.0,100,37.0,79,GB
5,akureyri,1595986588,65.68,-18.09,48.2,90,2.24,81,IS
6,carnarvon,1595986321,-24.87,113.63,64.4,0,12.75,68,AU
7,hilo,1595986588,19.73,-155.09,80.6,90,12.75,69,US
8,lagoa,1595986588,39.05,-27.98,73.13,44,15.39,90,PT
9,qaanaaq,1595986588,77.48,-69.36,40.89,26,3.29,73,GL
10,ushuaia,1595986589,-54.8,-68.3,35.6,40,28.86,80,AR
11,gat,1595986589,31.61,34.76,79.0,0,1.01,58,IL
12,puerto ayora,1595986589,-0.74,-90.35,66.99,76,1.01,94,EC
13,cape town,1595986512,-33.93,18.42,51.01,0,5.82,87,ZA
14,upernavik,1595986589,72.79,-56.15,43.36,100,8.72,90,GL
15,bluff,1595986519,-46.6,168.33,49.23,100,6.31,70,NZ
16,naze,1595986589,28.37,129.48,87.8,20,8.05,84,JP
17,chokurdakh,1595986589,70.63,147.92,51.57,86,13.4,56,RU
18,albany,1595986518,42.6,-73.97,75.0,24,3.89,92,US
19,kathmandu,1595986375,27.72,85.32,69.8,75,2.24,100,NP
20,puerto escondido,1595986589,15.85,-97.07,81.88,100,3.11,75,MX
21,marystown,1595986590,47.17,-55.15,59.04,71,5.08,95,CA
22,bredasdorp,1595986444,-34.53,20.04,42.8,0,3.36,93,ZA
23,kudahuvadhoo,1595986590,2.67,72.89,82.72,100,16.55,77,MV
24,chichi,1595986590,7.27,8.93,72.55,100,6.64,93,NG
25,acapulco,1595986411,16.86,-99.89,84.2,90,1.52,79,MX
26,cururupu,1595986365,-1.83,-44.87,73.83,9,3.06,91,BR
27,severo-kurilsk,1595986590,50.68,156.12,54.09,54,18.1,78,RU
28,warrensburg,1595986590,38.76,-93.74,80.01,9,3.8,83,US
29,znamenskoye,1595986590,57.13,73.83,54.61,100,7.4,62,RU
30,sarakhs,1595986590,36.54,61.16,84.2,0,2.24,48,IR
31,quelimane,1595986590,-17.88,36.89,62.74,25,3.6,94,MZ
32,bambous virieux,1595986590,-20.34,57.76,69.8,20,4.7,83,MU
33,thompson,1595986416,55.74,-97.86,69.8,20,5.82,56,CA
34,punta arenas,1595986590,-53.15,-70.92,37.4,75,13.87,86,CL
35,vila franca do campo,1595986591,37.72,-25.43,71.6,40,6.93,94,PT
36,rikitea,1595986591,-23.12,-134.97,72.52,1,13.78,81,PF
37,tiksi,1595986591,71.69,128.87,45.27,99,10.56,77,RU
38,sao felix do xingu,1595986591,-6.64,-51.99,70.43,0,1.54,47,BR
39,hobart,1595986545,-42.88,147.33,48.99,100,8.05,75,AU
40,biak,1595986591,-0.91,122.88,78.58,99,7.9,80,ID
41,kapaa,1595986591,22.08,-159.32,80.6,90,14.99,78,US
42,sulangan,1595986591,11.14,123.72,83.17,98,7.85,73,PH
43,busselton,1595986591,-33.65,115.33,60.01,92,4.59,90,AU
44,victoria,1595986300,22.29,114.16,90.0,1,4.0,70,HK
45,hermanus,1595986571,-34.42,19.23,52.43,0,6.67,75,ZA
46,castro,1595986315,-24.79,-50.01,57.96,44,4.21,85,BR
47,bengkulu,1595986592,-3.8,102.27,79.7,3,4.54,77,ID
48,marietta,1595986584,33.95,-84.55,82.4,75,5.82,74,US
49,waddan,1595986592,29.16,16.14,70.2,0,2.93,79,LY
50,mataura,1595986570,-46.19,168.86,50.95,100,5.82,65,NZ
51,olafsvik,1595986592,64.89,-23.71,49.48,88,6.33,83,IS
52,hisar,1595986592,29.17,75.72,93.61,100,14.0,47,IN
53,menongue,1595986592,-14.66,17.69,46.81,0,3.8,55,AO
54,kedrovyy,1595986592,56.17,91.82,55.4,40,5.41,100,RU
55,half moon bay,1595986592,37.46,-122.43,73.4,90,8.05,87,US
56,isangel,1595986443,-19.55,169.27,78.8,40,17.22,65,VU
57,ilulissat,1595986592,69.22,-51.1,42.8,35,4.7,81,GL
58,leh,1595986593,34.17,77.58,60.98,2,5.35,40,IN
59,ilhabela,1595986593,-23.78,-45.36,74.66,23,6.13,61,BR
60,nurota,1595986593,40.56,65.69,78.8,0,9.17,29,UZ
61,saint george,1595986593,37.1,-113.58,102.99,1,14.99,7,US
62,ribeira grande,1595986593,38.52,-28.7,73.29,27,12.48,91,PT
63,gao,1595986593,16.64,1.64,88.14,96,10.27,48,ML
64,moron,1595986593,-34.65,-58.62,45.0,0,3.06,64,AR
65,geraldton,1595986593,-28.77,114.6,57.2,0,11.41,76,AU
66,saldanha,1595986593,-33.01,17.94,44.6,0,1.12,81,ZA
67,tasiilaq,1595986593,65.61,-37.64,41.0,63,5.82,100,GL
68,ancud,1595986352,-41.87,-73.82,39.0,77,3.36,100,CL
69,irbeyskoye,1595986594,55.64,95.45,69.24,5,4.9,65,RU
70,port alfred,1595986594,-33.59,26.89,57.74,0,12.84,80,ZA
71,cidreira,1595986594,-30.18,-50.21,46.76,37,10.6,75,BR
72,caravelas,1595986594,-17.71,-39.25,68.41,5,2.37,84,BR
73,vardo,1595986594,70.37,31.11,54.9,19,10.45,93,NO
74,broken hill,1595986575,-31.95,141.43,55.4,0,7.92,54,AU
75,lebu,1595986594,-37.62,-73.65,44.78,82,12.19,85,CL
76,igarka,1595986595,67.47,86.58,58.21,0,8.52,66,RU
77,kassala,1595986595,15.45,36.4,76.86,100,11.88,77,SD
78,caraballeda,1595986595,10.61,-66.85,70.0,93,4.14,89,VE
79,kahului,1595986543,20.89,-156.47,87.8,40,24.16,45,US
80,tual,1595986595,-5.67,132.75,78.31,97,22.73,81,ID
81,manokwari,1595986595,-0.87,134.08,81.41,88,1.28,77,ID
82,dikson,1595986595,73.51,80.55,47.25,100,14.27,78,RU
83,vila velha,1595986360,-20.33,-40.29,72.0,0,11.41,83,BR
84,la ronge,1595986595,55.1,-105.28,82.4,20,9.17,45,CA
85,sur,1595986596,22.57,59.53,87.28,38,5.57,63,OM
86,chuy,1595986511,-33.7,-53.46,39.15,0,7.05,82,UY
87,jamestown,1595986596,42.1,-79.24,70.0,1,8.05,60,US
88,leningradskiy,1595986596,69.38,178.42,41.79,28,5.5,69,RU
89,tabou,1595986596,4.42,-7.35,74.98,100,8.5,85,CI
90,majene,1595986596,-3.54,118.97,80.85,44,12.28,73,ID
91,aras,1595986596,42.56,-2.36,69.8,90,6.93,73,ES
92,binzhou,1595986596,37.37,118.02,88.27,0,3.74,54,CN
93,vaini,1595986596,-21.2,-175.2,73.4,20,20.8,60,TO
94,farmington,1595986596,36.73,-108.22,89.6,1,13.87,11,US
95,ponta do sol,1595986596,32.67,-17.1,71.6,20,5.82,68,PT
96,totma,1595986596,59.97,42.76,57.47,97,3.91,87,RU
97,baruun-urt,1595986596,46.68,113.28,65.86,80,11.3,65,MN
98,torbay,1595986596,47.67,-52.73,57.0,75,3.36,82,CA
99,lata,1595986597,40.16,-8.33,64.0,3,1.74,96,PT
100,diamantino,1595986597,-14.41,-56.45,73.63,0,2.15,38,BR
101,namibe,1595986314,-15.2,12.15,61.52,2,7.29,88,AO
102,fortuna,1595986597,40.6,-124.16,62.01,40,11.41,93,US
103,atuona,1595986597,-9.8,-139.03,80.11,1,24.38,72,PF
104,san juan,1595986597,-31.54,-68.54,46.0,0,2.04,52,AR
105,sterling,1595986597,39.01,-77.43,81.0,75,3.36,74,US
106,semey,1595986597,50.41,80.23,60.8,75,17.9,93,KZ
107,winnemucca,1595986597,40.97,-117.74,93.2,1,12.75,9,US
108,aswan,1595986597,24.09,32.91,88.05,0,1.72,33,EG
109,makakilo city,1595986597,21.35,-158.09,87.8,40,10.29,45,US
110,ginda,1595986598,30.69,78.49,78.8,90,3.36,94,IN
111,fairbanks,1595986598,64.84,-147.72,60.8,90,6.93,77,US
112,arraial do cabo,1595986598,-22.97,-42.03,73.4,0,10.29,78,BR
113,acarau,1595986598,-2.89,-40.12,77.52,0,13.24,82,BR
114,baykit,1595986598,61.67,96.37,66.63,43,4.63,64,RU
115,yar-sale,1595986598,66.83,70.83,51.84,85,8.25,80,RU
116,teguise,1595986598,29.06,-13.56,71.6,75,17.22,78,ES
117,mahebourg,1595986598,-20.41,57.7,69.8,20,4.7,83,MU
118,grindavik,1595986598,63.84,-22.43,50.0,90,5.82,100,IS
119,yenagoa,1595986598,4.92,6.26,73.78,100,3.24,92,NG
120,te anau,1595986598,-45.42,167.72,49.41,100,1.86,85,NZ
121,nanortalik,1595986598,60.14,-45.24,46.49,87,10.11,94,GL
122,buala,1595986583,-8.14,159.59,85.64,95,4.9,70,SB
123,portland,1595986084,45.52,-122.68,88.0,20,8.05,29,US
124,aranos,1595986599,-24.13,19.12,46.87,0,8.39,49,NA
125,porto novo,1595986599,6.5,2.6,75.2,20,5.82,94,BJ
126,sao filipe,1595986599,14.9,-24.5,77.09,100,4.81,83,CV
127,dajal,1595986599,29.56,70.38,93.13,0,20.78,52,PK
128,basco,1595986599,20.45,121.97,85.39,100,14.23,78,PH
129,port lincoln,1595986599,-34.73,135.87,60.28,25,10.2,62,AU
130,lovozero,1595986599,68.0,35.01,54.66,0,7.07,90,RU
131,iqaluit,1595986599,63.75,-68.51,64.4,75,10.29,59,CA
132,praia da vitoria,1595986600,38.73,-27.07,75.2,20,8.7,78,PT
133,kropotkin,1595986600,45.44,40.58,66.54,83,7.96,83,RU
134,salinas,1595986600,36.68,-121.66,68.0,1,16.11,64,US
135,touros,1595986600,-5.2,-35.46,69.8,20,3.36,94,BR
136,rognan,1595986600,67.1,15.39,62.6,40,20.8,67,NO
137,kodiak,1595986600,57.79,-152.41,69.8,1,4.7,49,US
138,butaritari,1595986600,3.07,172.79,83.39,100,19.64,78,KI
139,bethel,1595986337,41.37,-73.41,75.2,1,3.36,78,US
140,mikuni,1595986600,36.22,136.15,77.0,75,4.7,88,JP
141,barrow,1595986560,71.29,-156.79,42.8,90,20.8,81,US
142,brovst,1595986601,57.1,9.53,55.99,84,5.99,90,DK
143,georgetown,1595986509,5.41,100.34,80.6,20,9.04,83,MY
144,new norfolk,1595986601,-42.78,147.06,48.99,92,1.01,91,AU
145,faya,1595986601,18.39,42.45,62.6,40,11.41,93,SA
146,kochki,1595986601,54.34,80.48,59.81,66,7.61,87,RU
147,kaniama,1595986601,-7.57,24.18,60.42,31,1.95,49,CD
148,tuatapere,1595986601,-46.13,167.68,53.62,100,5.44,75,NZ
149,pangnirtung,1595986601,66.15,-65.71,50.79,90,1.19,80,CA
150,eskisehir,1595986362,39.78,30.52,60.8,0,2.24,77,TR
151,cherskiy,1595986601,68.75,161.3,51.39,14,14.67,51,RU
152,lompoc,1595986601,34.64,-120.46,64.99,3,11.41,72,US
153,dongsheng,1595986560,39.82,109.98,78.62,11,10.71,50,CN
154,guarapari,1595986602,-20.67,-40.5,72.0,0,11.41,83,BR
155,hithadhoo,1595986602,-0.6,73.08,82.74,99,13.04,76,MV
156,port blair,1595986602,11.67,92.75,84.25,99,16.62,76,IN
157,faanui,1595986602,-16.48,-151.75,79.39,75,16.15,74,PF
158,westport,1595986602,41.14,-73.36,86.0,90,6.93,51,US
159,asau,1595986602,46.43,26.4,64.0,0,4.45,87,RO
160,saint-philippe,1595986602,-21.36,55.77,71.6,79,16.11,78,RE
161,saskylakh,1595986602,71.92,114.08,56.84,0,2.3,55,RU
162,liverpool,1595986602,53.41,-2.98,59.0,79,13.87,72,GB
163,nishihara,1595986602,26.18,127.76,89.6,40,12.75,74,JP
164,guerrero negro,1595986602,27.98,-114.06,68.92,19,18.19,78,MX
165,sandwick,1595986603,60.0,-1.25,53.6,100,19.46,93,GB
166,kutum,1595986603,14.2,24.67,74.21,71,25.03,74,SD
167,bilma,1595986603,18.69,12.92,90.88,10,9.98,27,NE
168,port elizabeth,1595986603,-33.92,25.57,55.4,37,10.29,87,ZA
169,imbituba,1595986540,-28.24,-48.67,55.4,90,10.29,87,BR
170,keti bandar,1595986603,24.14,67.45,86.09,86,21.9,74,PK
171,banda aceh,1595986603,5.56,95.32,81.01,96,9.33,71,ID
172,korla,1595986603,41.76,86.15,75.99,66,13.35,69,CN
173,avarua,1595986603,-21.21,-159.78,71.6,73,5.82,88,CK
174,bandarbeyla,1595986603,9.49,50.81,78.22,1,23.06,76,SO
175,airai,1595986604,-8.93,125.41,69.31,81,4.59,49,TL
176,auki,1595986604,-8.77,160.7,83.62,96,5.75,78,SB
177,puerto asis,1595986604,0.51,-76.5,73.09,48,2.35,83,CO
178,chapais,1595986359,49.78,-74.85,62.6,1,3.36,82,CA
179,provideniya,1595986604,64.38,-173.3,51.8,90,8.95,66,RU
180,praia,1595986604,14.92,-23.51,80.6,75,6.93,83,CV
181,birao,1595986604,10.28,22.79,72.1,100,8.48,93,CF
182,katherine,1595986604,-14.47,132.27,75.2,95,17.22,15,AU
183,luderitz,1595986584,-26.65,15.16,55.4,0,9.17,82,NA
184,yumen,1595986604,40.28,97.2,80.53,97,8.77,28,CN
185,valparaiso,1595986439,-33.04,-71.63,53.01,0,11.32,81,CL
186,kostomuksha,1595986604,64.57,30.58,53.62,53,5.66,88,RU
187,gimli,1595986604,50.63,-96.99,73.99,0,5.55,99,CA
188,coihaique,1595986605,-45.58,-72.07,35.6,75,5.82,74,CL
189,dingle,1595986605,11.0,122.67,83.5,96,4.72,77,PH
190,vilyuysk,1595986605,63.76,121.62,56.23,100,9.06,58,RU
191,hofn,1595986605,64.25,-15.21,50.76,0,4.5,82,IS
192,khatanga,1595986605,71.97,102.5,63.28,0,6.15,46,RU
193,batagay-alyta,1595986605,67.8,130.41,49.57,82,5.01,63,RU
194,constitucion,1595986470,-35.33,-72.42,44.76,58,6.82,71,CL
195,lavrentiya,1595986606,65.58,-171.0,48.25,44,6.85,74,RU
196,biltine,1595986606,14.53,20.92,80.08,51,13.51,71,TD
197,moerai,1595986606,-22.43,-151.33,68.34,100,8.52,91,PF
198,lebyazhye,1595986606,55.27,66.49,56.55,100,3.94,65,RU
199,douglas,1595986575,41.3,-96.17,86.0,40,4.7,62,US
200,longyearbyen,1595986606,78.22,15.64,51.8,75,11.41,81,SJ
201,chama,1595986606,47.18,8.46,68.0,97,2.24,94,CH
202,mangan,1595986606,27.52,88.53,75.52,100,0.43,59,IN
203,alta floresta,1595986606,-9.88,-56.09,73.83,14,3.58,43,BR
204,jumla,1595986606,29.27,82.18,63.91,100,3.71,70,NP
